"Date","Price","Open","High","Low","Vol.","Change %"
"08-02-2026","26.80","28.50","29.45","26.70","148.06M","-4.22%"
"01-02-2026","27.98","28.30","31.90","25.92","466.47M","-0.96%"
"25-01-2026","28.25","28.00","29.96","26.83","219.81M","-0.07%"
"18-01-2026","28.27","31.98","32.14","28.00","225.46M","-11.32%"
"11-01-2026","31.88","33.88","34.22","31.57","133.26M","-5.90%"
"04-01-2026","33.88","35.93","36.41","33.70","106.53M","-5.71%"
"28-12-2025","35.93","36.55","36.95","33.35","253.49M","-1.67%"
"21-12-2025","36.54","38.30","38.70","34.59","298.52M","-5.24%"
"14-12-2025","38.56","34.31","39.39","34.03","413.14M","11.67%"
"07-12-2025","34.53","37.00","37.20","32.40","229.77M","-8.36%"
"30-11-2025","37.68","39.86","40.13","37.40","98.65M","-5.68%"
"23-11-2025","39.95","39.14","40.80","36.70","257.03M","2.86%"
"16-11-2025","38.84","41.74","42.38","38.75","165.93M","-6.02%"
"09-11-2025","41.33","39.20","42.87","38.00","281.38M","5.46%"
"02-11-2025","39.19","46.00","46.58","38.50","326.11M","-15.58%"
"26-10-2025","46.42","45.15","47.75","43.27","196.33M","2.70%"
"19-10-2025","45.20","45.00","46.58","44.04","63.38M","1.25%"
"12-10-2025","44.64","43.55","47.51","43.55","166.33M","-8.11%"
"05-10-2025","48.58","46.20","50.73","43.75","173.00M","4.52%"
"28-09-2025","46.48","45.02","47.40","44.11","60.04M","3.84%"
"21-09-2025","44.76","47.89","49.37","44.50","60.71M","-6.83%"
"14-09-2025","48.04","45.66","49.28","45.52","120.33M","4.91%"
"07-09-2025","45.79","47.10","47.58","44.60","63.38M","-2.41%"
"31-08-2025","46.92","44.50","48.48","43.55","49.71M","6.83%"
"24-08-2025","43.92","46.61","47.46","43.55","44.13M","-10.20%"
"17-08-2025","48.91","44.50","50.85","43.00","61.58M","12.96%"
"10-08-2025","43.30","43.03","44.68","41.76","43.29M","0.63%"
"03-08-2025","43.03","47.58","47.58","42.86","113.36M","-14.09%"
"27-07-2025","50.09","55.00","56.74","50.09","105.41M","-11.78%"
"20-07-2025","56.78","64.02","64.70","56.78","61.53M","-11.31%"
"13-07-2025","64.02","65.25","66.85","63.00","47.58M","-1.22%"
"06-07-2025","64.81","66.10","66.70","63.85","46.05M","-1.92%"
"29-06-2025","66.08","70.34","70.90","63.60","90.55M","-4.48%"
"22-06-2025","69.18","62.12","69.50","61.40","118.33M","8.86%"
"15-06-2025","63.55","67.50","69.00","60.44","267.90M","-5.22%"
"08-06-2025","67.05","62.28","76.49","62.20","1.52B","8.78%"
"01-06-2025","61.64","58.64","63.43","58.51","1.18B","6.09%"
"25-05-2025","58.10","52.90","60.50","49.73","1.18B","11.95%"
"18-05-2025","51.90","45.45","53.10","43.85","621.63M","15.15%"
"11-05-2025","45.07","42.40","45.37","41.26","397.73M","16.61%"
"04-05-2025","38.65","40.79","41.20","37.00","203.10M","-3.69%"
"27-04-2025","40.13","41.36","42.62","39.60","165.23M","-2.97%"
"20-04-2025","41.36","42.35","46.85","40.91","326.39M","-1.83%"
"13-04-2025","42.13","40.25","42.97","40.15","100.63M","5.25%"
"06-04-2025","40.03","35.64","41.07","35.11","125.04M","-3.19%"
"30-03-2025","41.35","41.95","44.48","41.05","158.49M","-3.79%"
"23-03-2025","42.98","38.20","44.76","36.73","318.32M","13.64%"
"16-03-2025","37.82","33.75","38.35","32.90","138.90M","13.27%"
"09-03-2025","33.39","36.25","36.75","33.30","68.68M","-7.35%"
"02-03-2025","36.04","33.46","36.37","31.27","147.04M","8.36%"
"23-02-2025","33.26","37.40","37.55","33.00","71.24M","-11.78%"
"16-02-2025","37.70","37.19","39.15","35.91","86.60M","1.15%"
"09-02-2025","37.27","42.40","42.59","36.67","123.06M","-10.92%"
"02-02-2025","41.84","40.23","43.94","37.62","169.68M","4.37%"
"26-01-2025","40.09","38.49","40.40","35.19","76.31M","4.08%"
"19-01-2025","38.52","42.39","42.70","38.31","67.71M","-8.42%"
"12-01-2025","42.06","38.39","42.95","36.49","101.12M","7.90%"
"05-01-2025","38.98","45.80","46.10","38.80","132.54M","-14.89%"
"29-12-2024","45.80","43.00","47.25","41.26","126.75M","6.12%"
"22-12-2024","43.16","44.98","45.62","42.95","32.18M","-3.55%"
"15-12-2024","44.75","47.70","48.50","43.01","70.79M","-5.69%"
"08-12-2024","47.45","45.39","48.00","42.50","91.61M","6.65%"
"01-12-2024","44.49","38.70","45.25","37.35","73.96M","14.96%"
"24-11-2024","38.70","35.93","40.02","34.25","72.16M","10.41%"
"17-11-2024","35.05","35.93","36.00","33.30","55.22M","-2.45%"
"10-11-2024","35.93","39.50","40.73","35.15","84.10M","-13.59%"
"03-11-2024","41.58","42.50","45.76","40.87","102.57M","-3.37%"
"27-10-2024","43.03","43.20","43.98","40.00","49.96M","-0.39%"
"20-10-2024","43.20","42.60","44.35","37.30","90.94M","1.77%"
"13-10-2024","42.45","43.14","45.80","39.65","96.39M","-4.02%"
"06-10-2024","44.23","48.40","49.70","44.23","133.57M","-13.19%"
"29-09-2024","50.95","46.25","53.64","44.21","518.82M","9.92%"
"22-09-2024","46.35","38.15","46.35","38.15","430.27M","27.55%"
"15-09-2024","36.34","30.30","36.34","29.92","279.62M","21.82%"
"08-09-2024","29.83","30.15","30.69","29.21","114.76M","-1.29%"
"01-09-2024","30.22","30.60","32.25","29.26","176.04M","-1.11%"
"25-08-2024","30.56","32.75","32.75","30.00","325.40M","-11.37%"
"18-08-2024","34.48","31.90","38.11","31.60","657.33M","10.41%"
"11-08-2024","31.23","32.00","32.68","29.26","160.57M","-3.37%"
"04-08-2024","32.32","33.50","34.28","29.77","408.00M","-6.43%"
"28-07-2024","34.54","30.34","34.54","30.03","454.79M","16.02%"
"21-07-2024","29.77","27.12","30.58","25.75","152.01M","9.77%"
"14-07-2024","27.12","27.40","29.53","26.85","80.02M","-0.73%"
"07-07-2024","27.32","29.22","29.30","26.90","81.30M","-5.89%"
"30-06-2024","29.03","29.38","29.38","28.02","93.75M","0.35%"
"23-06-2024","28.93","29.80","30.41","28.52","120.05M","-3.15%"
"16-06-2024","29.87","32.05","32.30","29.75","164.96M","-4.63%"
"09-06-2024","31.32","25.35","33.11","25.25","603.98M","25.28%"
"02-06-2024","25.00","25.75","25.75","23.30","141.87M","1.83%"
"26-05-2024","24.55","26.05","26.20","24.40","102.40M","-7.71%"
"19-05-2024","26.60","26.15","27.40","25.90","87.20M","1.72%"
"12-05-2024","26.15","25.15","26.60","23.90","70.23M","4.81%"
"05-05-2024","24.95","26.60","26.75","24.35","80.09M","-6.90%"
"28-04-2024","26.80","28.00","28.30","26.65","59.27M","-3.25%"
"21-04-2024","27.70","28.50","28.80","27.40","77.76M","-1.25%"
"14-04-2024","28.05","26.50","28.70","25.50","83.75M","2.56%"
"07-04-2024","27.35","32.75","32.75","26.95","148.31M","-16.10%"
"31-03-2024","32.60","28.85","34.45","28.40","154.92M","15.40%"
"24-03-2024","28.25","27.60","28.50","26.60","91.95M","7.41%"
"17-03-2024","26.30","23.20","26.30","22.45","59.63M","19.00%"
"10-03-2024","22.10","23.00","23.40","19.40","67.36M","-2.00%"
"03-03-2024","22.55","24.05","24.20","21.90","43.27M","-5.85%"
"25-02-2024","23.95","25.70","25.95","22.30","52.50M","-6.45%"
"18-02-2024","25.60","26.30","27.30","25.00","42.94M","-2.29%"
"11-02-2024","26.20","27.80","27.80","24.85","58.01M","-4.73%"
"04-02-2024","27.50","27.40","29.00","25.35","110.48M","-4.51%"
"28-01-2024","28.80","30.35","31.25","28.55","151.63M","-4.64%"
"21-01-2024","30.20","29.70","31.05","28.05","256.57M","2.20%"
"14-01-2024","29.55","31.05","31.55","27.95","315.33M","-4.37%"
"07-01-2024","30.90","31.65","33.15","30.00","457.20M","-1.59%"
"31-12-2023","31.40","23.50","33.00","23.30","2.25B","34.76%"
"24-12-2023","23.30","22.60","23.40","22.15","320.05M","4.02%"
"17-12-2023","22.40","23.35","24.65","20.60","605.68M","-5.08%"
"10-12-2023","23.60","24.35","25.20","22.85","791.27M","-1.46%"
"03-12-2023","23.95","21.10","24.45","20.65","1.00B","14.87%"
"26-11-2023","20.85","21.00","21.65","20.65","402.31M","-0.24%"
"19-11-2023","20.90","23.00","23.20","20.70","557.23M","-8.53%"
"12-11-2023","22.85","20.70","23.75","20.25","934.80M","11.46%"
"05-11-2023","20.50","18.40","21.75","18.35","1.00B","12.33%"
"29-10-2023","18.25","16.90","18.65","16.45","325.58M","8.63%"